Source;Post;ID ath;Data;type;like;comm;reposts;views
-143121648;-143121648;-143121648;1622698599;1;2;1;2;554
5186;-139632889;-139632889;1624306619;0,5;0;0;0;0
-140067924;-140067924;-140067924;1622533746;1;0;0;0;55
-140320656;-140320656;-140320656;1623421802;1;36;0;3;518
-140320656;-140320656;-140320656;1623851136;1;30;0;1;467
-140334789;-140334789;-140334789;1624213182;1;4;0;4;221
-140488890;-140488890;-140488890;1622890926;1;10;0;0;204
-140488890;-140488890;-140488890;1623838530;1;3;0;0;162
-141500065;-141500065;-141500065;1622543015;1;0;0;0;30
-141500065;-141500065;-141500065;1623142474;1;0;0;0;23
-141500065;-141500065;-141500065;1623404453;1;0;0;0;81
-141500065;-141500065;-141500065;1623231468;1;0;0;1;40
-141500065;-141500065;-141500065;1623403973;1;0;0;0;33
-141500065;-141500065;-141500065;1624005303;1;0;0;0;57
-141500065;-141500065;-141500065;1623744964;1;0;0;0;26
-141500065;-141500065;-141500065;1624264805;1;0;0;0;61
-148235461;-148235461;-148235461;1622490000;1;227;7;40;16730
-141611082;-141611082;-141611082;1622639829;1;15;0;1;294
-141984314;-141984314;-141984314;1622913764;1;11;0;0;424
-142335347;-142335347;-142335347;1623841210;1;0;0;0;48
-143028893;-143028893;-143028893;1622480744;1;0;1;0;25
-143051934;-143051934;-143051934;1622958960;1;0;0;0;23
-145285977;-145285977;-145285977;1624883700;1;1;0;0;265
-145395176;-145395176;-145395176;1622553479;1;0;0;0;35
-143265175;-143265175;-143265175;1624960381;1;9;9;8;1410
-143560080;-143560080;-143560080;1624114836;1;17;0;3;450
-143802370;-143802370;-143802370;1622466070;1;3;0;0;1060
-143912;-143912;-143912;1624604079;1;1;0;0;32
-145269622;-145269622;-145269622;1623143808;1;3;3;0;1721
-145269622;-145269622;-145269622;1623530302;1;7;2;15;2640
-138640980;-138640980;-138640980;1623962551;1;0;0;2;33
-145395176;-145395176;-145395176;1622462716;1;0;0;1;36
-145541042;-145541042;-145541042;1623498410;1;10;0;0;561
-145830331;-145830331;-145830331;1624431603;1;9;0;3;400
-147067551;-147067551;-147067551;1624126816;1;0;0;0;36
